gram_count,document_count,Average_freq,z_score
92,2,46.0,0.9873125521824473
114,2,57.0,1.2592780547698526
193,2,96.5,2.235881450424626
3,3,1.0,-0.11291152646660144
237,6,39.5,2.7798124555994366
201,6,33.5,2.334777996820046
5,3,1.6666666666666667,-0.08818738986774641
9,5,1.8,-0.038739116670036364
54,5,10.8,0.5175539568042017
94,6,15.666666666666666,1.0120366887813024
79,6,13.166666666666666,0.8266056642898896
19,4,4.75,0.08488156632423877
241,6,40.166666666666664,2.8292607287971463
11,3,3.6666666666666665,-0.014014980071181335
2,2,1.0,-0.12527359476602895
6,3,2.0,-0.07582532156831889
218,6,36.333333333333336,2.5449331579103136
8,4,2.0,-0.05110118496946387
97,6,16.166666666666668,1.049122893679585
134,6,22.333333333333332,1.5065194207584027
237,6,39.5,2.7798124555994366
111,6,18.5,1.22219184987157
75,6,12.5,0.7771573910921794
2,2,1.0,-0.12527359476602895
2,2,1.0,-0.12527359476602895
40,6,6.666666666666667,0.3444850006122165
6,4,1.5,-0.07582532156831889
16,5,3.2,0.04779536142595623
19,4,4.75,0.08488156632423877
4,2,2.0,-0.10054945816717392
12,5,2.4,-0.0016529117717538227
184,6,30.666666666666668,2.1246228357297783
114,6,19.0,1.2592780547698526
95,6,15.833333333333334,1.0243987570807298
53,6,8.833333333333334,0.5051918885047741
16,5,3.2,0.04779536142595623
122,6,20.333333333333332,1.3581746011652727
175,6,29.166666666666668,2.0133642210349305
13,6,2.1666666666666665,0.01070915652767369
74,6,12.333333333333334,0.764795322792752
13,6,2.1666666666666665,0.01070915652767369
36,5,7.2,0.2950367274145065
75,6,12.5,0.7771573910921794
76,6,12.666666666666666,0.789519459391607
59,6,9.833333333333334,0.5793642983013393
139,6,23.166666666666668,1.5683297622555403
206,6,34.333333333333336,2.3965883383171835
9,5,1.8,-0.038739116670036364
13,5,2.6,0.01070915652767369
2,2,1.0,-0.12527359476602895
38,6,6.333333333333333,0.3197608640133615
133,6,22.166666666666668,1.4941573524589753
6,2,3.0,-0.07582532156831889
24,3,8.0,0.14669190782137634
34,3,11.333333333333334,0.27031259081565145
59,6,9.833333333333334,0.5793642983013393
238,6,39.666666666666664,2.792174523898864
2,2,1.0,-0.12527359476602895
14,4,3.5,0.0230712248271012
236,6,39.333333333333336,2.7674503873000087
5,3,1.6666666666666667,-0.08818738986774641
12,2,6.0,-0.0016529117717538227
20,4,5.0,0.09724363462366628
28,4,7.0,0.19614018101908637
7,4,1.75,-0.06346325326889139
117,6,19.5,1.296364259668135
13,3,4.333333333333333,0.01070915652767369
5,4,1.25,-0.08818738986774641
200,6,33.333333333333336,2.3224159285206185
9,3,3.0,-0.038739116670036364
27,6,4.5,0.18377811271965888
6,3,2.0,-0.07582532156831889
90,5,18.0,0.9625884155835922
132,6,22.0,1.4817952841595479
53,6,8.833333333333334,0.5051918885047741
30,6,5.0,0.2208643176179414
34,6,5.666666666666667,0.27031259081565145
119,6,19.833333333333332,1.3210883962669902
52,4,13.0,0.49282982020534666
7,3,2.3333333333333335,-0.06346325326889139
2,2,1.0,-0.12527359476602895
3,3,1.0,-0.11291152646660144
5,4,1.25,-0.08818738986774641
30,6,5.0,0.2208643176179414
24,5,4.8,0.14669190782137634
23,5,4.6,0.13432983952194882
6,2,3.0,-0.07582532156831889
12,2,6.0,-0.0016529117717538227
6,2,3.0,-0.07582532156831889
14,2,7.0,0.0230712248271012
18,3,6.0,0.07251949802481125
8,2,4.0,-0.05110118496946387
5,3,1.6666666666666667,-0.08818738986774641
4,2,2.0,-0.10054945816717392
8,2,4.0,-0.05110118496946387
45,6,7.5,0.4062953421093541
13,4,3.25,0.01070915652767369
174,6,29.0,2.001002152735503
32,5,6.4,0.2455884542167964
140,2,70.0,1.580691830554968
20,5,4.0,0.09724363462366628
21,2,10.5,0.1096057029230938
96,6,16.0,1.0367608253801572
8,5,1.6,-0.05110118496946387
44,2,22.0,0.39393327380992654
11,4,2.75,-0.014014980071181335
160,6,26.666666666666668,1.827933196543518
7,4,1.75,-0.06346325326889139
13,4,3.25,0.01070915652767369
