gram_count,document_count,Average_freq,z_score,mahalanobis
3,3,1.0,-0.11291152646660144,0.6636674450070317
5,3,1.6666666666666667,-0.08818738986774641,0.6342759319036702
9,5,1.8,-0.038739116670036364,1.9891608263110103
54,5,10.8,0.5175539568042017,1.9361889114636759
94,6,15.666666666666666,1.0120366887813024,2.596406680145876
79,6,13.166666666666666,0.8266056642898896,2.577481762351194
19,4,4.75,0.08488156632423877,1.2864026159064088
11,3,3.6666666666666665,-0.014014980071181335,0.6367727056036324
2,2,1.0,-0.12527359476602895,0.26242585016461195
6,3,2.0,-0.07582532156831889,0.6249663114238813
8,4,2.0,-0.05110118496946387,1.3036319402225336
97,6,16.166666666666668,1.049122893679585,2.6018964527982615
134,6,22.333333333333332,1.5065194207584027,2.714266956082893
111,6,18.5,1.22219184987157,2.6348635520347345
75,6,12.5,0.7771573910921794,2.574859991325606
2,2,1.0,-0.12527359476602895,0.26242585016461195
2,2,1.0,-0.12527359476602895,0.26242585016461195
40,6,6.666666666666667,0.3444850006122165,2.595776286216592
6,4,1.5,-0.07582532156831889,1.313769923920659
16,5,3.2,0.04779536142595623,1.964902275070754
19,4,4.75,0.08488156632423877,1.2864026159064088
4,2,2.0,-0.10054945816717392,0.12249043995202656
12,5,2.4,-0.0016529117717538227,1.9780758982225202
184,6,30.666666666666668,2.1246228357297783,2.9825900782245847
114,6,19.0,1.2592780547698526,2.6434744833406594
95,6,15.833333333333334,1.0243987570807298,2.598174071213321
53,6,8.833333333333334,0.5051918885047741,2.5788483985687902
16,5,3.2,0.04779536142595623,1.964902275070754
122,6,20.333333333333332,1.3581746011652727,2.669036058517026
175,6,29.166666666666668,2.0133642210349305,2.9256635685501813
13,6,2.1666666666666665,0.01070915652767369,2.6644083705607424
74,6,12.333333333333334,0.764795322792752,2.5743651688877383
13,6,2.1666666666666665,0.01070915652767369,2.6644083705607424
36,5,7.2,0.2950367274145065,1.9276528746838877
75,6,12.5,0.7771573910921794,2.574859991325606
76,6,12.666666666666666,0.789519459391607,2.5754191061358958
59,6,9.833333333333334,0.5793642983013393,2.57467166089421
139,6,23.166666666666668,1.5683297622555403,2.735469771983707
9,5,1.8,-0.038739116670036364,1.9891608263110103
13,5,2.6,0.01070915652767369,1.97460918272632
2,2,1.0,-0.12527359476602895,0.26242585016461195
38,6,6.333333333333333,0.3197608640133615,2.5993278806485285
133,6,22.166666666666668,1.4941573524589753,2.710190047117306
6,2,3.0,-0.07582532156831889,0.1933747030891229
24,3,8.0,0.14669190782137634,1.008763413030507
34,3,11.333333333333334,0.27031259081565145,1.4325012306664624
59,6,9.833333333333334,0.5793642983013393,2.57467166089421
2,2,1.0,-0.12527359476602895,0.26242585016461195
14,4,3.5,0.0230712248271012,1.2860248266566385
5,3,1.6666666666666667,-0.08818738986774641,0.6342759319036702
12,2,6.0,-0.0016529117717538227,0.7497220156572467
20,4,5.0,0.09724363462366628,1.28812934181121
28,4,7.0,0.19614018101908637,1.3213080703139932
7,4,1.75,-0.06346325326889139,1.3084400254860225
117,6,19.5,1.296364259668135,2.652620130525232
13,3,4.333333333333333,0.01070915652767369,0.6676403814265055
5,4,1.25,-0.08818738986774641,1.3196153127643906
9,3,3.0,-0.038739116670036364,0.620337374589081
27,6,4.5,0.18377811271965888,2.623299073248756
6,3,2.0,-0.07582532156831889,0.6249663114238813
90,5,18.0,0.9625884155835922,2.0686740056738215
132,6,22.0,1.4817952841595479,2.706168272535452
53,6,8.833333333333334,0.5051918885047741,2.5788483985687902
30,6,5.0,0.2208643176179414,2.6160227159163916
34,6,5.666666666666667,0.27031259081565145,2.607179890085225
119,6,19.833333333333332,1.3210883962669902,2.6590115816343185
52,4,13.0,0.49282982020534666,1.5967889300062807
7,3,2.3333333333333335,-0.06346325326889139,0.6194841547951329
2,2,1.0,-0.12527359476602895,0.26242585016461195
3,3,1.0,-0.11291152646660144,0.6636674450070317
5,4,1.25,-0.08818738986774641,1.3196153127643906
30,6,5.0,0.2208643176179414,2.6160227159163916
24,5,4.8,0.14669190782137634,1.9441961251291977
23,5,4.6,0.13432983952194882,1.946366705609686
6,2,3.0,-0.07582532156831889,0.1933747030891229
12,2,6.0,-0.0016529117717538227,0.7497220156572467
6,2,3.0,-0.07582532156831889,0.1933747030891229
14,2,7.0,0.0230712248271012,0.9431257159874845
18,3,6.0,0.07251949802481125,0.795089990046491
8,2,4.0,-0.05110118496946387,0.3688318459408238
5,3,1.6666666666666667,-0.08818738986774641,0.6342759319036702
4,2,2.0,-0.10054945816717392,0.12249043995202656
8,2,4.0,-0.05110118496946387,0.3688318459408238
45,6,7.5,0.4062953421093541,2.5879975002000344
13,4,3.25,0.01070915652767369,1.2876011151082156
174,6,29.0,2.001002152735503,2.9195538780495296
32,5,6.4,0.2455884542167964,1.9312039029261105
20,5,4.0,0.09724363462366628,1.9535981474852355
21,2,10.5,0.1096057029230938,1.6235428248569173
96,6,16.0,1.0367608253801572,2.6000040394426094
8,5,1.6,-0.05110118496946387,1.993081947013107
11,4,2.75,-0.014014980071181335,1.2923936433094574
160,6,26.666666666666668,1.827933196543518,2.838774914810023
7,4,1.75,-0.06346325326889139,1.3084400254860225
13,4,3.25,0.01070915652767369,1.2876011151082156
12,4,3.0,-0.0016529117717538227,1.2897249538012896
48,6,8.0,0.4433815470076366,2.584089147630024
36,6,6.0,0.2950367274145065,2.60312944642474
19,6,3.1666666666666665,0.08488156632423877,2.645364289102563
77,6,12.833333333333334,0.8018815276910346,2.5760424714557684
109,6,18.166666666666668,1.197467713272715,2.6294226032003856
