gram_count,document_count,Average_freq,z_score,mahalanobis
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
4,2,2.0,0.2432401402505388,0.7634037159329167
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
7,3,2.3333333333333335,0.6842635360986277,1.8990184551677867
2,2,1.0,-0.050775456981520466,0.7567346003982935
3,3,1.0,0.09623234163450917,2.010849244750205
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
7,3,2.3333333333333335,0.6842635360986277,1.8990184551677867
10,3,3.3333333333333335,1.1252869319467167,2.007923550031905
3,3,1.0,0.09623234163450917,2.010849244750205
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
7,3,2.3333333333333335,0.6842635360986277,1.8990184551677867
4,2,2.0,0.2432401402505388,0.7634037159329167
4,2,2.0,0.2432401402505388,0.7634037159329167
2,2,1.0,-0.050775456981520466,0.7567346003982935
4,2,2.0,0.2432401402505388,0.7634037159329167
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
3,3,1.0,0.09623234163450917,2.010849244750205
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
4,2,2.0,0.2432401402505388,0.7634037159329167
4,2,2.0,0.2432401402505388,0.7634037159329167
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
5,3,1.6666666666666667,0.39024793886656844,1.9186934584309479
7,3,2.3333333333333335,0.6842635360986277,1.8990184551677867
2,2,1.0,-0.050775456981520466,0.7567346003982935
5,3,1.6666666666666667,0.39024793886656844,1.9186934584309479
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
4,2,2.0,0.2432401402505388,0.7634037159329167
3,3,1.0,0.09623234163450917,2.010849244750205
6,3,2.0,0.537255737482598,1.8994606510350953
2,2,1.0,-0.050775456981520466,0.7567346003982935
1,1,1.0,-0.1977832555975501,0.6008534436336471
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
8,2,4.0,0.8312713347146573,1.6583906602844793
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
4,2,2.0,0.2432401402505388,0.7634037159329167
11,2,5.5,1.2722947305627463,2.500932613450159
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
13,3,4.333333333333333,1.5663103277948056,2.258988762691753
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
4,2,2.0,0.2432401402505388,0.7634037159329167
2,2,1.0,-0.050775456981520466,0.7567346003982935
8,2,4.0,0.8312713347146573,1.6583906602844793
2,2,1.0,-0.050775456981520466,0.7567346003982935
4,2,2.0,0.2432401402505388,0.7634037159329167
8,2,4.0,0.8312713347146573,1.6583906602844793
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
4,2,2.0,0.2432401402505388,0.7634037159329167
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
1,1,1.0,-0.1977832555975501,0.6008534436336471
4,2,2.0,0.2432401402505388,0.7634037159329167
4,3,1.3333333333333333,0.2432401402505388,1.9561627132866475
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
6,2,3.0,0.537255737482598,1.1439650383905071
9,2,4.5,0.978279133330687,1.9337686437913304
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
4,2,2.0,0.2432401402505388,0.7634037159329167
2,2,1.0,-0.050775456981520466,0.7567346003982935
3,3,1.0,0.09623234163450917,2.010849244750205
4,2,2.0,0.2432401402505388,0.7634037159329167
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
2,2,1.0,-0.050775456981520466,0.7567346003982935
4,2,2.0,0.2432401402505388,0.7634037159329167
6,2,3.0,0.537255737482598,1.1439650383905071
6,2,3.0,0.537255737482598,1.1439650383905071
6,2,3.0,0.537255737482598,1.1439650383905071
